Authors,Title,Publication_year,Publication,Country,Latitude,Longitude,Site_name,n_sites,Sampling_period,Sampling_frequency,Elevation_masl,MATemp_C,MAPrecip_mm,MAEvap_mm,Climate_zone,Mean_width_m,Mean_water_depth_m,Mean_velocity_m_s-1,Mean_discharge_m3_s-1,Instream vegetation?,Land_use,Soil_type,Nutrient_status,Hydrological_regime,GHG_sampling_method,g_CO2_m-2_yr-1,CH4_diffusive_g_CH4_m-2_yr-1,CH4_ebullitive_g_CH4_m-2_yr-1,g_N2O_m-2_yr-1,Flux_conversion_notes,DO_mg_L-1,pH,EC_us_cm-1,DOC_mg_L-1,TP_mg_L-1,TN_mg_L-1,Nitrate_mg_L,Chl-a_mg_L-1,Secchi_depth_m,Notes
Evans; C; Morrison; R; Burden; A; Williamson; J; Baird; A; Brown; E; Callaghan; N; Chapman; P; Cumming; A; Dean; H; Dixon; D; Dooling; G; Evans; J; Gauci; V; Grayson; R; Haddaway; N; He; Y; Heppell; K; Holden; J; Hughes; S; Kaduk; J; Jones; D; Matthews; R; Menichino; N; Misselbrook; T; Page; S; Pan; G; Peacock; M; Rayment; M; Ridley; L; Robinson; I; Rylett; D; Scowen; M; Stanley; K; Worrall; F,Lowland peatland systems in England and Wales–evaluating greenhouse gas fluxes and carbon balances,2016,"FINAL REPORT TO DEFRA, PROJECT SP1210",United Kingdom,52.424733,-1.878446,"AF-LN, SL-EG, NB-LN",3,"Various (2013 to 2015, at least 1 year of data)",Fortnightly to monthly,21,9.8,933,NA,Temperate,NA,NA,NA,NA,NA,Agriculture,Organic (peat),Oligotrophic,Intermittently dry,Chamber,647.39,183.95,NA,NA,Converted from g C m-2 y-1 * conversion factor for CO2 (44.01/12.01) or CH4 (16.04/12.01),NA,NA,NA,26.27,NA,NA,NA,NA,NA,"Excluded sites EF-LN, EF-EG and EF-DA which are covered by Peacock refs above. "
Evans; C; Morrison; R; Burden; A; Williamson; J; Baird; A; Brown; E; Callaghan; N; Chapman; P; Cumming; A; Dean; H; Dixon; D; Dooling; G; Evans; J; Gauci; V; Grayson; R; Haddaway; N; He; Y; Heppell; K; Holden; J; Hughes; S; Kaduk; J; Jones; D; Matthews; R; Menichino; N; Misselbrook; T; Page; S; Pan; G; Peacock; M; Rayment; M; Ridley; L; Robinson; I; Rylett; D; Scowen; M; Stanley; K; Worrall; F,Lowland peatland systems in England and Wales–evaluating greenhouse gas fluxes and carbon balances,2016,"FINAL REPORT TO DEFRA, PROJECT SP1210",United Kingdom,52.38899625,-1.29081875,"EF-SA, AF-HN, SL-IG, NB-HN",4,"Various (2013 to 2015, at least 1 year of data)",Fortnightly to monthly,16,9.9,877,NA,Temperate,NA,NA,NA,NA,NA,Agriculture,Organic (peat),Eutrophic,Intermittently dry,Chamber,-63.74,24.4,NA,NA,Converted from g C m-2 y-1 * conversion factor for CO2 (44.01/12.01) or CH4 (16.04/12.01),NA,NA,NA,39.95,NA,NA,NA,NA,NA,"Excluded sites EF-LN, EF-EG and EF-DA which are covered by Peacock refs above. EF-SA ditches had little vegetation, SL-IG ditches were revegetated during the study period"
"Wu, W; Yan, Z",Unpublished dataset of agricultural ditches in China,2020,Unpublished,China,39.265,117.6042,Tianjin,1,October 2020,Once,-2.1,14,750,NA,Temperate monsoon,6,1.5,standing,NA,NA,Agriculture,Mineral,Hypertrophic,Perennial,Concentration,311.7,38.13,NA,0.049,Converted from umol m2 h-1 * 44or16or44 * 10e-6 * 24h * 365d,NA,7.96,NA,7.184,NA,1.344,0.367,NA,NA,
"Wu, W; Yan, Z",Unpublished dataset of agricultural ditches in China,2020,Unpublished,China,38.749,116.416,Hebei,1,October 2020,Once,-1.9,12.4,634,NA,Temperate monsoon,5,1,standing,NA,NA,Agriculture,Mineral,Eutrophic,Perennial,Concentration,142.8,1.59,NA,0.056,Converted from umol m2 h-1 * 44or16or44 * 10e-6 * 24h * 365d,NA,7.89,NA,6.508,NA,0.87,0.342,NA,NA,
"Wu, W; Yan, Z",Unpublished dataset of agricultural ditches in China,2020,Unpublished,China,36.634,116.517,Shandong,1,October 2020,Once,21.4,13.2,622,NA,Temperate monsoon,3,1,standing,NA,NA,Agriculture,Mineral,Mesotrophic,Perennial,Concentration,148.8,3.22,NA,0.033,Converted from umol m2 h-1 * 44or16or44 * 10e-6 * 24h * 365d,NA,8.18,NA,4.85,NA,0.443,0.193,NA,NA,
"Feng, XR; Deng, OP; Deng, LJ; Wu, M;  Yao, K; Yang, ZP","Emission flux characteristics and influencing factors of different types of ditches CO2, CH4 and N2O in the Chengdu Plain",2017,HUAN JING KE XUE (CHINESE JOURNAL OF ENVIRONMENTAL SCIENCE),China,30.56037,103.6539813,Sichuan,3,March 2014 to February 2015,Monthly,512,16.1,1400,NA,Subtropical Monsoon,2.52,0.77,NA,NA,NA,Agriculture,Mineral (assumed),Hypertrophic,Perennial,Chamber,3647.69,111.28,NA,0.117,"Converted from  mg m-2 h-1 * 10e-3 * 24h * 365d(CO2,CH4) or ug m-2 h-1 * 10e-6 * 24h * 365d(N2O)",3.32,7.49,NA,NA,0.345,6.08,2.01,NA,NA,Based on the satelite imagery I would consider agriculture the dominant land use. Zhifeng/Wenxin extracted this data (paper in Chinese)
"Yu, Z., Deng, H., Wang, D., Ye, M., Tan, Y., Li, Y., ... & Xu, S.",Nitrous oxide emissions in the Shanghai river network: implications for the effects of urban sewage and IPCC methodology,2013,GLOBAL CHANGE BIOLOGY,China,31.638889,121.544444,Rural ditches,11,February 2010 to October 2011,Bimonthly,3.5,15.5,1466,NA,Subtropical monsoon,39.45,NA,NA,NA,NA,Agriculture,Mineral ,Eutrophic,Perennial (assumed),Concentration,NA,NA,NA,2.47,"Used average of the reported range. Converted from, mg N2O-N m-2 d-1 * 1e-3 (mg to g) * 44.01/28.01 (N2O-N to N2O) * 365 d/y",6.57,7.98,NA,NA,NA,NA,7.24,NA,NA,"Cited as a companion paper to Yu et al 2017 therefore missing information was filled in from that paper, Mike: Correspondance with the authors when writing my ditch CH4 paper: ""The rivers in the rural area could be defined as the agricultural canals"". Authors note that the N2O emissions are among the highest values reported for river systems."
"Bloem, E",CO2 and CH4 flux in the canals of Amsterdam,2017,UNIVERSITY OF AMSTERDAM,Netherlands,52.367665,4.886712,Amsterdam canals,1,"April 12, 2017",Once,-0.25,10.7,844,NA,Temperate,39.35,NA,low,NA,NA,Urban,Organic (peat),Hypertrophic,Perennial,Chamber,5417.86,6.74,NA,NA,"Authors reported CO2/CH4 but in their flux calculations they used the molar weright of C. Thus, convered from mg CO2-C or CH4-C m-2 h-1 * 1e-3 (mg to g) * 44.01/12.01 (conversion from C to CO2) or 16.04/12.01 (conversion from C to CH4) * 24h/d * 365 d/y. ",NA,NA,NA,9.94,NA,NA,NA,NA,NA,Same canals as Brandhof 2017. Width an average of several spots along the sampled canals (Google Earth). Climate data for Amsterdam from climate-data.org Widths from Google Earth. Trophic status was gleaned from TN and TP surface water concentrations reported for the Zuider Zee area in Yu et al 2018 
"Brandhof, J",The Amsterdam canal system as a source of greenhouse gases,2017,VU UNIVERSITY AMSTERDAM,Netherlands,52.367665,4.886712,Amsterdam canals,1,"May 11, 2017",Once,-0.25,10.7,844,NA,Temperate,39.35,NA,low,NA,NA,Urban,Organic (peat),Hypertrophic,Perennial,Concentration,787,0.259,NA,NA,Annual emissions reported by authors (using Aufdemkampe k for wetlands due to the low velocity). CH4 converted from mg to g * 1e-3,NA,NA,NA,9.94,NA,NA,NA,NA,NA,Same canals as Bloem 2017
"Minami, K. and Fukushi, S., ",Methods for measuring N2O flux from water surface and N2O dissolved in water from agricultural land,1984,SOIL SCIENCE AND PLANT NUTRITION,Japan,36.1807885,139.8862639,Agriculture drainage ditch,2,December 1982 to January 1983,Three occasions,24,14.5,1431,NA,Subtropical,3,3,NA,NA,NA,Agriculture,Mineral,Eutrophic,Perennial (assumed),Chamber,NA,NA,NA,0.15,"Converted from g N2O-N 10a-1 d-1 * 44.01/28.01 (conversion factor from N to N2O) / 40468.6 m2/acre * 365 d/y. ""a"" was assumed to be acres. Note these were winter fluxes (December and January*) upscaled to the entire year, so likely an underestimation. *water surface was frozen and N2O was measured afer removing ice",NA,NA,NA,NA,NA,NA,NA,NA,NA,These are winter emissions (December and January) upscaled to the entire year. Coordinates an approximation nearby the named village. Weather data for Tsukuba from climate-data.org
"Harrison, J.A.",Nitrogen Dynamics and Greenhouse Gas Production in Yaqui Valley,2003,STANFORD UNIVERSITY,Mexico,27.25,-110.05,"A1, P1 (drainage canals)",2,November 1999 to September 2001,Biweekly,10,22.5,287,NA,Dry (arid),6.3,1.02,0.321,0.0005,No,Agriculture,Mineral,Hypertrophic,Perennial ,Chamber,4307.89,243.98,NA,NA,Converted from mg CH4-C m-2 d-1 * 1e-3 (mg to g) * 16.04/12.01 (conversion from CH4-C to CH4) * 365 d/y. Converted from ug CO2-C cm-2 h-1 * 44.01/12.01 (convsersion from CO2-C to CO2) / 100 (ug/cm2 to g/m2) * 24 h/d * 365 d/y,NA,7.9,NA,5.9,NA,NA,3.05,0.13,NA,"The N2O chapter is already reported in the Harrison and Matson 2003 ref above. So the CO2 and CH4 data is included here, with the same ancillary information as the published study. Ch4 value is a bit lower than Peacock et al 2021, checked my calculations"
"Glagolev, M.V., Chistotin, M.V., Shnyrev, N.A., & Sirin, A.A. ",The emission of carbon dioxide and methane from drained peatlands changed by economic use and from natural mires during the summer-fall period (on example of a region of Tomsk oblast). ,2008,AGROKHIMIJA,Russia,56.8875,83.003,"""Right""",1,"July to August 2003, July to September 2004 and July to October 2005",One to three occassions,102,0.9,610,NA,Boreal,NA,NA,NA,NA,NA,Forest,Organic (peat),Oligotrophic,Intermittently dry,Chamber,919.48,10.25,NA,NA,Converted from mg CO2-C/CH4-C m-2 h-1 *1e-3 (mg to g) * 44.01/12.01 (conversion from CO2-C to CO2) or 16.04/12.01 (conversion from CH4-C to CH4) * 24 h/d * 124d growing season . Growing season assumed to be the sampling period (July to October) of 123 days,NA,6.25,NA,NA,NA,NA,NA,NA,NA,Ditches were measured in areas with shallow depth or no water. Drained peatlands ditches. Measured several ditches in different regions but the emissions are only explicity noted for on e(the rest are grouped with the peatland emissions). Climate data for Tomsk from climate-data.org pH of what I assume is the peat or peat pore water noted as 5.3 - 7.2 for this site (noted the average). Mike considered this paper oligotrophic. 
"Chistotin, M.V., Si?in, A.A., & Dulov, L.E",Seasonal dynamics of carbon dioxide and methane emission from a peatland in Moscow Region drained for peat ext?action and agricultu?al use,2006,AGROKHIMIJA,Russia,56.7,37.833333,Haymaking channel,1,February to November 2005,Monthly,127,5.7,678,NA,Boreal,7.35,NA,NA,NA,NA,Agriculture,Organic (peat),Oligotrophic,Intermittently dry,Chamber,2921.15,505.61,NA,NA,Converted from mg of CO2-C or CH4-C m-2 h-1 * 1e-3 (mg to g) * 44.01/12.01 (conversion factor from CO2-C to CO2) or 16.04/12.01 (conversion factor from CH4-C to CH4) * 24 h/d * 365 d/y (sampled year-round),NA,NA,NA,NA,NA,NA,NA,NA,NA,Average widths from Google Earth satellite. Meso-oligotrophic status is noted. Mike considered both of these eutrophic. Climate data for Moscow from climate-data.org
"Chistotin, M.V., Si?in, A.A., & Dulov, L.E",Seasonal dynamics of carbon dioxide and methane emission from a peatland in Moscow Region drained for peat ext?action and agricultu?al use,2006,AGROKHIMIJA,Russia,56.7,37.833333,Peat extraction channel,1,July to October 2005,Monthly,127,5.7,678,NA,Boreal,7.35,NA,NA,NA,NA,Wetland,Organic (peat),Oligotrophic,Intermittently dry,Chamber,294.6,87.35,NA,NA,Converted from mg of CO2-C or CH4-C m-2 h-1 * 1e-3 (mg to g) * 44.01/12.01 (conversion factor from CO2-C to CO2) or 416.04/12.01 (conversion factor from CH4-C to CH4) * 24 h/d * 150 day growing season assumed by Evans (wetland supplement),NA,NA,NA,NA,NA,NA,NA,NA,NA,Average widths from Google Earth satellite. Meso-oligotrophic status is noted. Mike considered both of these eutrophic. Climate data for Moscow from climate-data.org
"Natchimuthu, S., Wallin, M.B., Klemedtsson, L. and Bastviken, D.,",Spatio-temporal patterns of stream methane and carbon dioxide emissions in a hemiboreal catchment in Southwest Sweden,2017,SCIENTIFIC REPORTS,Sweden,58.366667,12.15,"A, D, E",4,2013 to 2014,"Continuous CO2 sensor, every 2 weeks for CH4",65,7,910,NA,Hemiboreal,0.83,0.2,0.17,0.0226,NA,Forest,Mineral (assumed),NA,Perennial,Chamber (CO2) and concentration (CH4),6918.62,22.89,NA,NA,Converted from mmol m-2 d-1 / 1000mmol/mol * 16.04 g /mol of CH4 or 44.01 g/mol of CO2 * 365 d/y (as authors sampled year-round),NA,NA,NA,NA,NA,NA,NA,NA,NA,"Authors note sometimes low flows with pools of standing water, but no mention of drying, so considered perennial"
"Xue, H., Ding, H., Han, X., Lang, Y., Wang, T., Qiao, M., ... & Liu, C. Q. ","Disproportionate Carbon Emissions: Unveiling the Dominance of Ditches in the Aquatic Systems of Qilihai Wetland, a National Conservation Wetland in Tianjin, China.",2024,Preprint,China,39.304381,117.536002,Qilihai Wetland ditches,10,November 2021 to October 2022 (excluding Jan/Feb due to ice coverage),Monthly,5,12.8,453,NA,Temperate monsoon,13.82,,NA,NA,Yes-phytoplankton,Wetland,Mineral,Hypertrophic,Perennial (assumed),Both chamber and concentration,896.58,0.77,1.42,NA,Converted from g CO2-C or CH4-Cm-2 y-1 * 44.01/12.01 (conversion factor from CO2-C to CO2) or 16.04/12.01 (conversion factor from CH4-C to CH4). Used the 65% ebullition proportion from the chamber measurments to divide the reported annual CH4 flux ,9.81,8.27,NA,10.57,NA,NA,NA,0.05,NA,10.65
"Liu, B., Zhang, R., Zhu, L., Wang, J., Qin, B., & Shi, W. ",An outsized contribution of rivers to carbon emissions from interconnected urban river?lake networks within plains,2024,GEOPHYSICAL RESEARCH LETTERS,China,31.51817575,119.7283546,Near rivers,12,January (dry season) and July (wet season) 2022,Once,6,16.8,1283,NA,Subtropical monsoon,14.2,NA,NA,NA,NA,Urban,Mineral,Eutrophic,Perennial (assumed),Concentration,672.67,4.59,NA,NA,Converted from CO2 or CH4 mg m-2 d-1 * 1e-3 (mg to g) * 365 days (assuming the dry and wet season sampling are representative of the whole year),NA,NA,NA,1.99,NA,NA,NA,NA,NA,"Coordinates, masl, widths average from the sites (Google Earth). Noted in text that lake and tributaries experience eutrophication"
"de Oliveira, BG; Carvalho, JLN; Cerri, CEP; Cerri, CC; Feigl, BJ",Greenhouse gas emissions from sugarcane vinasse transportation by open channel: a case study in Brazil.,2015,JOURNAL OF CLEANER PRODUCTION,Brazil,-22.73586881,-47.6493147,Coated and uncoated vinasse channels,6,"June 10 to July 27, 2010",15 occasions,547,21.7,1346,NA,Tropical savanna,2.27,1,NA,NA,NA,Agriculture,Mineral,Hypertrophic,Perennial,Chamber,NA,8543.92,NA,3.12,Converted from mg of N2O or CH4 m-2 h-1 * 1e-3 (mg to g) * 24 h/d * 365 d/y ,,4.77,10.5,NA,NA,311.67,NA,NA,NA,Water temp up to 48C straight from the processing plant (mean 29.67). Climate data for Piracicaba from climate-data.org Coordinates for the nearest city as site coordinates not provided
"Outram, FN; Hiscock, K ",Indirect nitrous oxide emissions from surface waterbodies in a lowland arable catchment: a significant contribution to agricultural greenhouse gas budgets?,2012,ENVIRONMENTAL SCIENCE & TECHNOLOGY,England,52.61716762,1.599426397,Drainage canals,10,March 2007,Once,0,10.7,727,,Temperate,2.88,NA,NA,NA,NA,Agriculture,Organic (peat),Eutrophic,Perennial (assumed),Concentration,NA,NA,NA,4.59,Converted from kg N2O-N ha-1 d-1 * 10 (kg/ha to g/m2) * 44.01/28.01 (conversion from N2O-N to N2O) * 365 d,10.65,6.8,8.2,NA,NA,NA,NA,NA,NA,Widths from Google Maps in the general Broads area. Climate data for Beccles from climate-data.org
"Sirin, AA; Suvorov, GG",Greenhouse gas emissions from peat extraction in the center of the European part of Russia. ,2022,RUSSIAN METEOROLOGY AND HYDROLOGY,Russia,56.69694,37.8275,Drains/ditches (peat extraction),NA,"February 2005 to September 2015 (CO2 and CH4), March 2014 to May 2015 (N2O)","330 occasions for CO2, 39 occasions for CH4, 6 occasions for N2O ",125,3.8,630,NA,Boreal,2.23,0.55,NA,NA,"Yes-bullrush, sedge, duckweed",Wetland (peat extraction),Organic (peat),NA,Intermittently dry,Chamber,1386.38,326.45,NA,NA,Annual emissions reported by authors. Converted from t CO2-C ha-1 yr-1 * 100 (t/ha to g/m2) *44.01/12.01 (conversion from CO2-C to CO2). Converted from kg CH4 ha-1 yr-1 *10 (hg/ha to g/m2) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,Widths from Google Earth. 
"Schiller, CL; Hastie, DR",Nitrous oxide and methane fluxes from perturbed and unperturbed boreal forest sites in northern Ontario,1996,JOURNAL OF GEOPHYSICAL RESEARCH: ATMOSPHERES,Canada,49.05,-80.666667,Drained and forested/deforested ditches,3,"June to August, 1992",3 occasions,296,2,906,,Boreal,2.87,NA,NA,NA,Yes-algae,Forest,Organic,Oligotrophic,NA,Chamber,NA,1.56,NA,-0.0063,Converted from ug N2O m-2 h-1 or ug CH4 m-2 h-2 *1e-6 (ug to g) *24 h/d * 120 day growing season assumed as per Evans Wetland Supplement. Converted from ,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forested (1) and deforested (2) sites. Mike considered these oligotrophic. The different ditches had high and low levels of algal growth. Do not mention a floating chamber, so I assume ditch had no or low water content? Values differ from Evans Wetland Supplement as they used a method accounting for the number of sampling sites and I think they accidentally reported the values as mg instead of ug. Precipitation for Cochrane from climate-data.org"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peacock, M; Gauci, V; Baird, AJ; Burden, A; Chapman, PJ; Cumming, A; Evans, JG; Grayson, RP; Holden, J; Kaduk, J; Morrison, R; Page, S; Pan, G; Ridley, LM; Williamson, J; Worrall, F; Evans, CD",The full carbon balance of a rewetted cropland fen and a conservation-managed fen,2019,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,UK,52.31,0.28,Wicken Sedge Fen,,April 2013 to October 2015,Every 2-3 weeks (summer) and 4-8 weeks (winter) for a total of 31 occasions,2.5,10.2,674,NA,Temperate,2.37,NA,NA,NA,,Agriculture,Organic (peat),NA,Perennial,Chamber,2610,125,NA,NA,"Values must be in g CO2 / g CH4, otherwise estimates are unreasonably high when converted from gC... (9561 g CO2)",NA,7.63,901,22.8,NA,NA,,NA,NA,Sites already reported in Peacock et al 2017 (with more spatial replicates). Sites are 200m apart. Widths from Google Earth
"Peacock, M; Gauci, V; Baird, AJ; Burden, A; Chapman, PJ; Cumming, A; Evans, JG; Grayson, RP; Holden, J; Kaduk, J; Morrison, R; Page, S; Pan, G; Ridley, LM; Williamson, J; Worrall, F; Evans, CD",The full carbon balance of a rewetted cropland fen and a conservation-managed fen,2019,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,UK,52.3,0.29,"Baker's Fen (grassland, former cropland)",,April 2013 to October 2015,Every 2-3 weeks (summer) and 4-8 weeks (winter) for a total of 37 occasions,0.5,10.2,674,NA,Temperate,2.86,NA,NA,NA,,Agriculture,Organic (peat),NA,Intermittently dry,Chamber,1245,8.9,NA,NA,"Values must be in g CO2 / g CH4, otherwise estimates are unreasonably high when converted from gC",NA,7.53,1426,34.5,NA,NA,,NA,NA,Sites already reported in Peacock et al 2017 (with more spatial replicates). Sites are 200m apart. Widths from Google Earth
"Dhandapani, S; Girkin, NT; Evers, S",Spatial variability of surface peat properties and carbon emissions in a tropical peatland oil palm monoculture during a dry season,2022,SOIL USE AND MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only measured CO2/CH4 once in the dry season from dry ditches (not possible to accurately upscale to annual fluxes when wet season flowing canal data is not included)
"Schrier-Uijl, AP; Kroon, PS; Hensen, A; Leffelaar, PA; Berendse, F; Veenendaal, EM",Comparison of chamber and eddy covariance-based CO2 and CH4 emission estimates in a heterogeneous grass ecosystem on peat,2010,AGRICULTURAL AND FOREST METEOROLOGY,Netherlands,52.03645,4.780425,,,On year (2006) and three months (August-November 2006),,1.7,11.2,807,,Temperate,,,,,,,Organic (peat),Eutrophic,,,,,,,,,,,,,,,,,"Reported total peatland ecosystem emissions, no specific ditch data readily available--although somehow Evans wetland Supplement extracted annual CH4 value here.."
"Smukler, SM; O'Geen, AT; Jackson, LE",Assessment of best management practices for nutrient cycling: A case study on an organic farm in a Mediterranean-type climate,2012,JOURNAL OF SOIL AND WATER CONSERVATION,USA,38.594117,-122.012631,Ditch,,April 2005 to March 2007,Monthly,72,15.9,508,,Arid,NA,NA,NA,NA,,Agriculture,Mineral,NA,Intermittently dry,Chamber,4380.57,NA,NA,0.23,Converted from g CO2-C m-2 d-1 * 44.01/12.01 (conversion from CO2-C to CO2) * 365. Converted from mg CH4-C m-2 d-1 * ,NA,NA,NA,NA,NA,NA,,NA,NA,Only measured CO2/N2O from ditches when they were dry (no flowing measurements). MAT from Vacaville at climate-data.org
"Hasegawa, K., Hanaki, K., Matsuo, T. and Hidaka, S",Nitrous oxide from the agricultural water system contaminated with high nitrogen,2000,CHEMOSPHERE,Japan,36.210499,139.260911,Small river for irrigation (looks like a ditch),1,June 1995 to May 1996,Monthly,34,14.6,1408,NA,Temperate,3.72,0.65,,,,Agriculture,Mineral (assumed),NA,Perennial (assumed),Chamber,NA,NA,NA,81.39,Converted from ug N m-2 min-1 * 1e-6 (ug to g) * 44.01/28.01 (conversion from N to N2O) * 60 min/h * 24 h/d * 365 d/y,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Measured only N2O concentrations in the drainage canals, and N2O emissions from a river (straightened?) and flooded paddy fields. N2O emission from the river is quite high, this is acknowledged by the authors. From Google earth the small river looks straightened, and could be a ditch, but am not certain. . Widths from Google Earth. Climate data for Saitama from climate-data.org"
"Gallo, EL; Lohse, KA; Ferlin, CM; Meixner, T; Brooks, PD; ",Physical and biological controls on trace gas fluxes in semi-arid urban ephemeral waterways. ,2014,BIOGEOCHEMISTRY,USA,32.226812,110.887471,Sandy/sandy loam - Ephemeral urban washes,3,Summer,Once,5,21.7,310,270,Semi-arid,2,0,0 (dry),0 (dry),No,Urban,Mineral (assumed),NA,Intermittently dry,Chamber,678.93,0.24,NA,0.01,Converted from mg CO2-C m-2 h-1 *1e-3 (mg to g) * 44.01/12.01 (conversion factor from CO2-C to CO2) * 24 h/d * 365 d/y. ug N2O-N and CH4-C * 1e-6 * 44.01/28.01 (conersion factor from N2O-N to N2O) or 16.04/12.01 (conversion factor from CH4-C to CH4) * 24 h/d * 365 d/y,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Measured dry GHG emissions from ephemeral urban washes (look channelized) where surface flow occurs only in response to rainfall, along with simulated precipitation. Average rainfall event is 9.5mm. 310/9.5 = approx 33 precip events per year, but given that the precipitation induced GHG peaks are very short, I will not include them in the annual emission estimate. MAT for Tucson from climate-data.org"
"Gallo, EL; Lohse, KA; Ferlin, CM; Meixner, T; Brooks, PD; ",Physical and biological controls on trace gas fluxes in semi-arid urban ephemeral waterways. ,2014,BIOGEOCHEMISTRY,USA,32.226812,110.887471,Loam - Ephemeral urban washes,3,Summer,Once,5,21.7,310,270,Semi-arid,2,0,0 (dry),0 (dry),Yes ,Urban,Mineral (assumed),NA,Intermittently dry,Chamber,738.31,0.57,NA,0.04,Converted from mg CO2-C m-2 h-1 *1e-3 (mg to g) * 44.01/12.01 (conversion factor from CO2-C to CO2) * 24 h/d * 365 d/y. ug N2O-N and CH4-C * 1e-6 * 44.01/28.01 (conersion factor from N2O-N to N2O) or 16.04/12.01 (conversion factor from CH4-C to CH4) * 24 h/d * 365 d/y,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Photos shows short vegetation growing in dry stream bed. Measured dry GHG emissions from ephemeral urban washes (look channelized) where surface flow occurs only in response to rainfall, along with simulated precipitation. Average rainfall event is 9.5mm. 310/9.5 = approx 33 precip events per year, but given that the precipitation induced GHG peaks are very short, I will not include them in the annual emission estimate. MAT for Tucson from climate-data.org"
"Cowley, K., Looman, A., Maher, D. T., & Fryirs, K.",Geomorphic controls on fluvial carbon exports and emissions from upland swamps in eastern Australia,2018,SCIENCE OF THE TOTAL ENVIRONMENT,Australia,-33.71747703,150.3410043,Channel,2,"Winter and summer (CH4), and spring and summer (CO2)",Once per noted season,912,13.5,1400,NA,Subtropical,2,NA,NA,0.06,NA,Urban,Organic (peat),NA,NA,Concentration,22737.89,24.37,NA,NA,Converted from g CO2-C m-2 d-1 * 44.01/12.01 (conversion from CO2-C to CO2) * 365 d/y. Converted from mg CH4-C m-2 d-1 * 16.04/12.01 (conversion from CH4-C to CH4) * 365 d/y,3.2,6,47,3,NA,NA,NA,NA,NA,"Emailed the authors--""streams Kirsten sampled are natural streams but their creation is triggered by human-induced headcut and incision processes into the swamps, so more like gullies. They are not ditches carved by humans as such"". CO2 emissions are very high--same conversion as Evans Wetlands Supplement--ask if they included this? EMailed author for clarifications. MAT for Katoomba from climate-data.org"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry condition fluxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Palmia, B; Leonardi, S; Viaroli, P; Bartoli, M",Regulation of CO2 fluxes along gradients of water saturation in irrigation canal sediments,2021,AQUATIC SCIENCES,Italy,45,10.366667,Canal - dry,5,October 2019,Once,30,13.7,888,NA,Temperate,17,,NA,NA,Yes,Agriculture,Mineral (assumed),Eutrophic,Dry,Chamber,4654.43,NA,NA,NA,Converted from mmol CO2 m-2 d-1 * 1e-3 (mmol to mol) * 44.01 g/mol CO2 * 365 d/yr,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mean width from Google Earth
"Dhandapani, S; Girkin, NT; Evers, S",Spatial variability of surface peat properties and carbon emissions in a tropical peatland oil palm monoculture during a dry season,2022,SOIL USE AND MANAGEMENT,Malaysia,3.42383,101.33692,Canal,1,August 2018,Once,17,26.8,1915,NA,Tropical,1.2,1.25,NA,NA,No,Agriculture,Organic (peatland),Eutrophic,Dry,Chamber,4639.98,0.34,NA,NA,Converted from mg CO2 m-2 h2-1 * 1e-3 mg to g * 24 h/d 8 365 d/y. Converted from ug CH4 m-2 hr-1 * 1e-6 ug to g * 24 h/d 8 365 d/y,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAT data for Kuala Selangor from climate-data.org Only measured CO2/CH4 once in the dry season from dry ditches (difficult to accurately upscale to annual fluxes when wet season flowing canal data is not included)
